MSOA Code,Households
E02002330,2785
E02002331,2679
E02002332,2534
E02002333,3625
E02002334,3156
E02002335,3154
E02002336,2826
E02002337,2830
E02002338,2888
E02002339,2597
E02002340,2536
E02002341,3016
E02002342,2577
E02002343,2419
E02002344,3427
E02002345,2334
E02002346,2727
E02002347,2734
E02002348,2727
E02002349,2540
E02002350,2563
E02002351,2265
E02002352,3116
E02002353,2225
E02002354,3328
E02002356,3217
E02002357,3585
E02002358,3159
E02002359,2773
E02002360,2954
E02002361,2462
E02002362,3562
E02002363,3300
E02002364,2699
E02002366,2844
E02002367,2603
E02002368,3537
E02002369,2928
E02002370,2880
E02002371,4149
E02002373,2670
E02002374,2979
E02002375,2296
E02002376,2455
E02002377,2282
E02002379,2044
E02002380,2353
E02002381,2891
E02002382,2302
E02002383,2332
E02002384,4306
E02002385,3419
E02002386,3853
E02002387,2435
E02002388,3196
E02002389,2906
E02002390,2665
E02002391,3505
E02002392,2352
E02002393,3870
E02002394,3198
E02002395,2440
E02002396,3822
E02002397,3277
E02002398,3256
E02002399,2631
E02002400,3641
E02002401,2541
E02002402,2396
E02002403,2633
E02002404,4432
E02002405,3228
E02002406,2850
E02002407,2835
E02002408,3268
E02002409,2633
E02002410,3051
E02002411,3502
E02002412,3051
E02002414,2682
E02002415,2599
E02002416,2794
E02002417,2727
E02002418,3038
E02002419,3503
E02002420,3299
E02002421,2609
E02002422,2662
E02002423,2482
E02002424,3271
E02002425,3685
E02002426,3240
E02002427,3021
E02002428,3110
E02002429,3523
E02002430,3017
E02002431,3591
E02002432,2919
E02002433,3182
E02002434,3542
E02002435,3269
E02002436,2831
E02002437,2445
E02006852,4551
E02006861,3887
E02006875,3569
E02006876,3492
